,平台,区域,场地名称,场地主人,联系方式,场地活动类型,场地价格,场地大小,推荐人数,场地位置,服务设施,浏览量,咨询量,场地链接
58,活动行-活动场地,福田区,戴言时尚创意体验室,戴言时尚创意体验室,15207***553,DIY 体验 分享会/沙龙,300元/小时 起,60 平米起,40 人,深圳市南山区粤海街道科智西路5-1（戴言时尚）,投影设备 音响 麦克风 WIFI 茶歇 餐饮,949,41,http://venue.huodongxing.com/venue/detail/710698782085
59,活动行-活动场地,福田区,山海盛宴,山海盛宴,18841***888,聚会 商务活动 分享会/沙龙,50000元/天 起,4000 平米起,1000 人,深圳市福田区福华一路城建购物公园北门,投影设备 音响 麦克风 WIFI 茶歇 餐饮 桌椅,661,40,http://venue.huodongxing.com/venue/detail/420698997644
60,活动行-活动场地,福田区,MMSPACE,MMSPACE,13080***123,分享会/沙龙 发布会,8000元/天 起,500 平米起,230 人,深圳市福田区深南路福安大厦首层102,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板,863,40,http://venue.huodongxing.com/venue/detail/710700479373
61,活动行-活动场地,福田区,深圳戴言有趣,深圳戴言有趣,13715***226,商务活动 分享会/沙龙,2000元/天 起,60 平米起,40 人,深圳市南山区粤海街道科智西路5-1,投影设备 音响 麦克风 WIFI 茶歇 桌椅,621,5,http://venue.huodongxing.com/venue/detail/830700254615
62,活动行-活动场地,福田区,Curator求睿,Curator求睿,15989***061,聚会 商务活动 分享会/沙龙,2000元/天 起,60 平米起,30 人,深圳市福田区福田街道金田路2028号皇庭V酒店40层4002,投影设备 音响 麦克风 WIFI 茶歇 餐饮,1193,44,http://venue.huodongxing.com/venue/detail/570698751128
63,活动行-活动场地,福田区,格兰云天,格兰云天,0755-***69898,发布会 会议/论坛 现场演出,7000元/天 起,450 平米起,300 人,广东省深圳市福田区深南中路3024号,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,751,47,http://venue.huodongxing.com/venue/detail/320700197018
64,活动行-活动场地,福田区,深圳乐舞汇,深圳乐舞汇,18902***766,聚会 团建 分享会/沙龙,2200元/天 起,100 平米起,50 人,深圳市福田区福虹路世贸广场大厦B座22楼22i室,投影设备 音响 麦克风 WIFI 舞台灯 舞台 桌椅,787,45,http://venue.huodongxing.com/venue/detail/940699952032
65,活动行-活动场地,福田区,比特咖啡创客空间,比特咖啡创客空间,07552***8069,DIY 体验 分享会/沙龙,5000元/天 起,100 平米起,100 人,深圳市南山区科兴路10号科技园文化广场2F,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场,722,21,http://venue.huodongxing.com/venue/detail/520693045926
66,活动行-活动场地,福田区,f518时尚创意园,余金国,13632***852,团建 分享会/沙龙 发布会,25000元/天 起,1200 平米起,800 人,广东省深圳市宝安区西乡宝源路,投影设备 音响 麦克风 WIFI 黑白板 桌椅,873,30,http://venue.huodongxing.com/venue/detail/200699745962
67,活动行-活动场地,福田区,深圳嘉行文化艺术生活馆,深圳嘉行文化艺术生活馆,07552***8898,DIY 体验 分享会/沙龙 课程,3000元/天 起,240 平米起,180 人,深圳市福田区景田东路32号景莲花园2楼(深圳商报社),投影设备 银幕 音响 麦克风 WIFI 茶歇 黑白板 桌椅 LED屏,1053,12,http://venue.huodongxing.com/venue/detail/470693266352
68,活动行-活动场地,福田区,联盟电竞（赛格旗舰店）,联盟电竞（赛格旗舰店）,0755-***26579,现场演出 赛事,22000元/天 起,400 平米起,200 人,深圳市福田区华强北赛格工业大厦3楼,投影设备 音响 麦克风 WIFI 停车场 桌椅 LED屏,1003,9,http://venue.huodongxing.com/venue/detail/470700014519
69,活动行-活动场地,福田区,深圳e当代美术馆,深圳e当代美术馆,0755-***77907,分享会/沙龙 课程 展览,50000元/天 起,1400 平米起,500 人,广东省深圳市福田保税区槟榔道创意保税园一层,投影设备 音响 麦克风 WIFI 停车场 黑白板 舞台灯 桌椅,1001,50,http://venue.huodongxing.com/venue/detail/840693055936
70,活动行-活动场地,福田区,深圳海雅大剧院,余经理,13058***885,分享会/沙龙 发布会 会议/论坛,100000元/天 起,5000 平米起,2500 人,广东省深圳市宝安区建安一路海雅缤纷城3楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,601,26,http://venue.huodongxing.com/venue/detail/610699713991
71,活动行-活动场地,福田区,菇记音乐餐厅,菇记音乐餐厅,0755-***58833,聚会 团建 分享会/沙龙,20000元/天 起,300 平米起,200 人,深圳市福田区华发北路9号山水时尚酒店3楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,821,11,http://venue.huodongxing.com/venue/detail/570698813132
72,活动行-活动场地,福田区,BarLeo,BarLeo,0755-***86260,聚会 分享会/沙龙,5000元/天 起,143 平米起,110 人,深圳市福田区深南中路1095号新城市广场酒吧街,投影设备 音响 麦克风 WIFI 茶歇 餐饮 舞台灯 舞台 桌椅,650,20,http://venue.huodongxing.com/venue/detail/530700428236
73,活动行-活动场地,福田区,汇咖啡城市汇客厅,汇咖啡城市汇客厅,13535***251,分享会/沙龙 发布会,3000元/天 起,180 平米起,60 人,深圳市南山区科苑路1003号软件产业基地1栋C座1楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮,670,47,http://venue.huodongxing.com/venue/detail/340698761426
74,活动行-活动场地,福田区,柏瑞思酒窖,柏瑞思酒窖,0755-***23233,聚会 团建 分享会/沙龙,5000元/天 起,300 平米起,200 人,广东省深圳市福田区深圳1979文化生活新领域3楼,音响 麦克风 WIFI 茶歇 餐饮 桌椅,989,5,http://venue.huodongxing.com/venue/detail/940700469211
75,活动行-活动场地,福田区,深圳皇轩,陶经理,18128***182,分享会/沙龙 会议/论坛,15000元/天 起,280 平米起,150 人,广州省深圳市福田区福民路28号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,937,43,http://venue.huodongxing.com/venue/detail/710699042533
76,活动行-活动场地,福田区,葵花公寓,葵花公寓,0755-***28888,聚会 团建 分享会/沙龙,3000元/天 起,130 平米起,100 人,广东省深圳市福田区石厦北一街,投影设备 音响 麦克风 WIFI 黑白板 桌椅,877,18,http://venue.huodongxing.com/venue/detail/450699052782
77,活动行-活动场地,福田区,深圳暂停文化艺术馆,钟彩闻,13924***622,聚会 团建 分享会/沙龙,"20000元/天 起
价格浮动面议",400 平米起,250 人,广东省深圳市福田区花卉世界公园路8号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,951,47,http://venue.huodongxing.com/venue/detail/210699063538
78,活动行-活动场地,福田区,得一轩,得一轩,0755-***11333,聚会 分享会/沙龙,5000元/天 起,100 平米起,100 人,深圳市福田区新闻路晶城广场102-202号商铺,投影设备 音响 麦克风,897,49,http://venue.huodongxing.com/venue/detail/420700263157
79,活动行-活动场地,罗湖区,MFG创客联邦,Mika,13715***962,聚会 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 赛事,1000元/小时 起,200 平米起,100 人,罗湖区宝安南路都市名园B栋5楼B区,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 黑白板 舞台灯 讲台 舞台 桌椅 电视,439,2,http://venue.huodongxing.com/venue/detail/490839154099
80,活动行-活动场地,罗湖区,康美物语高端接待会所,陈琪瑶,13590***792,分享会/沙龙 发布会 课程 路演,1000元/4h 起,300 平米起,80 人,深圳市罗湖区梨园路8号HALO广场1期701,投影设备 音响 麦克风 WIFI 黑白板 桌椅,903,3,http://venue.huodongxing.com/venue/detail/670793083223
81,活动行-活动场地,罗湖区,迈思空间·深城投中心,迈思空间,0755-***23323,分享会/沙龙 课程 会议/论坛 路演,"1元/天 起
活动经评估确认后有机会免费使用路演厅，具体使用细节请联系场地工作人员，0755-25123323。",200 平米起,50 人,深圳市罗湖区滨河大道1011号深城投中心7楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 舞台,717,3,http://venue.huodongxing.com/venue/detail/630775550314
82,活动行-活动场地,罗湖区,深圳尚创峰,深圳尚创峰,15986***663,商务活动 分享会/沙龙 发布会,"2200元/半天 起
2200半天 3500一天",160 平米起,120 人,深圳市罗湖区人民南路2002号佳宁娜广场三层,投影设备 音响 麦克风 WIFI,814,47,http://venue.huodongxing.com/venue/detail/280699993467
83,活动行-活动场地,罗湖区,书啡的世界·创客空间,林丽丽,13692***726,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 读书会 年会,"3000元/天 起
纯场地使用费:500/小时 消费满3000以上免场地使用费 饮品+甜品 :30-50/人 饮品+甜品+自助餐 :120-300/人",400 平米起,100 人,深圳市罗湖区罗芳路122号南方大厦A栋一楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 桌椅 电视,158,0,http://venue.huodongxing.com/venue/detail/650940506014
84,活动行-活动场地,罗湖区,AIFEE.艾神家咖啡,周远斌,17620***552,聚会 团建 分享会/沙龙 发布会 课程 现场演出 轰趴 读书会,"5000元/天 起
公司团建定制 涉及内容：咖啡饮料酒水蛋糕场地 室投大电视 写字 板 超大夜景大阳台 本店提供 啤酒 不定期有live演出（可预订） 套餐内容：6-10人会议388起 大厅10-25人688起 阳台20-30人998起 拿铁 美式 摩卡《三选一》 分手快乐 气泡水 柠檬茶 （三选一） 布丁蛋糕 慕斯蛋糕 蛋卷（三选一）",300 平米起,50 人,中建大厦26楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 桌椅 电视,15,0,http://venue.huodongxing.com/venue/detail/630910219193
85,活动行-活动场地,罗湖区,格式时尚发布中心,宋小姐,18576***007,商务活动 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 赛事 年会,"150000元/天 起
* 场地配备全套LED、灯光、音响、液压升降舞台、全息投影设备",1500 平米起,1500 人,东晓街道布心路3008号IBCMALL4F格式时尚发布中心,投影设备 音响 麦克风 WIFI 餐饮 舞台灯 舞台 桌椅 LED屏,59,2,http://venue.huodongxing.com/venue/detail/230847612513
86,活动行-活动场地,罗湖区,光明农场,光明农场,0755-***30022,聚会 分享会/沙龙,5000元/天 起,340 平米起,130 人,深圳市光明新区碧水路光明农场大观园,投影设备 音响 麦克风 WIFI 茶歇 餐饮,778,34,http://venue.huodongxing.com/venue/detail/450700438536
87,活动行-活动场地,罗湖区,艇上人家,艇上人家,07552***9599,聚会 商务活动 分享会/沙龙,30000元/天 起,1800 平米起,600 人,深圳市罗湖区笋岗东路2121号华凯大厦二层,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 桌椅,974,14,http://venue.huodongxing.com/venue/detail/450699053347
88,活动行-活动场地,罗湖区,3D+创客汇,3D+创客汇,0755-***10562,分享会/沙龙 发布会,2000元/天 起,279 平米起,100 人,深圳市罗湖区展艺路艺览中心2楼,投影设备 音响 麦克风 WIFI 停车场 黑白板 讲台 桌椅,1057,48,http://venue.huodongxing.com/venue/detail/800693056048
89,活动行-活动场地,罗湖区,稻香迎囍皇宫,稻香迎囍皇宫,0755-***67211,聚会 团建 分享会/沙龙,30000元/天 起,500 平米起,300 人,深圳市罗湖区宝安南路1881号万象城5楼(近大剧院地铁站C出口),投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 桌椅,851,42,http://venue.huodongxing.com/venue/detail/450698813238
90,活动行-活动场地,罗湖区,律簇法律金融书吧,律簇法律金融书吧,0755-***18985,聚会 分享会/沙龙,5000元/天 起,150 平米起,120 人,深圳市罗湖区深南东路5002号地王大厦G401层,投影设备 音响 麦克风 WIFI 茶歇 餐饮,959,29,http://venue.huodongxing.com/venue/detail/930698761534
91,活动行-活动场地,罗湖区,深圳罗湖体育馆,深圳罗湖体育馆,0755-***46688,发布会 会议/论坛 现场演出,20000元/天 起,2500 平米起,2500 人,广东省深圳市罗湖区罗沙公路经二路48号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 桌椅 电视 LED屏,673,33,http://venue.huodongxing.com/venue/detail/220699993416
92,活动行-活动场地,罗湖区,梧桐臻园会所,梧桐臻园会所,0755-***93560,聚会 商务活动 分享会/沙龙,6000元/天 起,180 平米起,200 人,深圳市罗湖区大望梧桐山望桐新路5号阔太时尚创意园内,投影设备 音响 麦克风 WIFI 茶歇 餐饮 桌椅,769,7,http://venue.huodongxing.com/venue/detail/920699744595
93,活动行-活动场地,罗湖区,深圳地王观光·深港之窗,深圳地王观光·深港之窗,0755-***61669,发布会 课程 会议/论坛,5000元/天 起,110 平米起,110 人,广东省深圳市罗湖区深南东路5002号地王大厦69层,投影设备 音响 麦克风 WIFI 餐饮 黑白板 桌椅,717,44,http://venue.huodongxing.com/venue/detail/890699993461
94,活动行-活动场地,罗湖区,藏途家肴·墨脱石锅,藏途家肴·墨脱石锅,0755-***88581,聚会 团建 分享会/沙龙,90元/人 起,500 平米起,300 人,广东省深圳市罗湖区钻石广场1F,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,1034,36,http://venue.huodongxing.com/venue/detail/520700479357
95,活动行-活动场地,罗湖区,DotsCoffee,DotsCoffee,07558***7090,聚会 分享会/沙龙,5000元/天 起,100 平米起,100 人,深圳市罗湖区深南东路2023号广深宾馆1楼(近南极路),投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,980,49,http://venue.huodongxing.com/venue/detail/400700424331
96,活动行-活动场地,南山区,领感EASYWORK联合办公空间,领感,18902***889,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 现场演出 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"1200元/半天 起
工作日：800元/2小时，1200元/半天，2000元/天 周末及节假日：1000元/2小时，1500元/半天，2500元/天",180 平米起,100 人,科发路1号,投影设备 银幕 音响 麦克风 WIFI 餐饮 停车场 黑白板 讲台 舞台 桌椅,633,7,http://venue.huodongxing.com/venue/detail/380901793680
97,活动行-活动场地,南山区,讯美科技广场会议中心,李小姐,13267***207,聚会 商务活动 团建 分享会/沙龙 发布会 课程 会议/论坛 展览 读书会 年会,"5550元/半天 起
1、会议室起订时间为，半天时间（8:00am-12:00am、14:00pm-18:00pm、18:00pm-22:00pm），全天为9:00am-18:00pm、14:00pm-22:00pm)起始、结束时间可依据客户需求及会议室预订情况调整，总时长不变。 2、300人规模大会议室半天起订，起订价格为8000元，全天价格为15000元；180人、120人、60人、30人会议室价格请来电详询。 3、在后续时段会议室无预约时方可延时，运营方会提前告知客户可否延时。 3、60人规模会议室、30人规模会议室如按小时预订，2小时起订。 4、以上价格为标准价格，推广期间具体信息请详询，以园区运营方信息为准。",410 平米起,300 人,深圳市南山区粤海街道科苑路8号讯美科技广场3号楼4楼,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 舞台灯 讲台 舞台 桌椅 LED屏,472,5,http://venue.huodongxing.com/venue/detail/720856986909
98,活动行-活动场地,南山区,小NO厨FUN研究所,小NO,13434***931,聚会 团建 DIY 体验 分享会/沙龙 课程 会议/论坛 轰趴 亲子 读书会 年会 其他,3000元/天 起,400 平米起,50 人,南海大道1055号TCL科技大厦B栋404,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,209,0,http://venue.huodongxing.com/venue/detail/850866295370
99,活动行-活动场地,南山区,侨城会馆,世介,13450***418,聚会 商务活动 团建 分享会/沙龙 发布会 课程 会议/论坛 路演 亲子 年会 其他,"3800元/天 起
场地分为茶室使用，沙龙培训市使用，会议室使用，会议室1000元/半天 茶室1000/半天 60人沙龙会议室3800/天",500 平米起,60 人,华侨城锦绣北街2号,,171,0,http://venue.huodongxing.com/venue/detail/140951009630
100,活动行-活动场地,南山区,πSPACE,π SPACE,18926***775,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 赛事 路演 轰趴 读书会 年会 其他,"1000元/时 起
价格为标准价，根据时长会有优惠价格； 如果需要免费使用场地，请联系后具体沟通",3000 平米起,350 人,深圳市南山区智恒产业园30栋6层,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视,254,2,http://venue.huodongxing.com/venue/detail/870955858098
101,活动行-活动场地,南山区,深圳市威廉国际马术中心,张慧文,18718***161,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"298元/小时 起
面议",30000 平米起,800 人,招商街道蛇口海湾路4号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅 电视 LED屏,588,3,http://venue.huodongxing.com/venue/detail/330872996891
102,活动行-活动场地,南山区,深圳湾区科创空间,Daisy,18566***877,聚会 商务活动 团建 分享会/沙龙 发布会 课程 会议/论坛 现场演出 路演 轰趴 读书会 年会,"5000元/天 起
VIP会议室可容纳30人，800元/小时，2小时起租。 活动路演室可容纳50人，400元/小时，2小时起租。",300 平米起,50 人,梦海大道卓越前海壹号B座4层,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅 LED屏,121,1,http://venue.huodongxing.com/venue/detail/680928498234
103,活动行-活动场地,南山区,隐遁茶空间,张菲,13392***231,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 路演 亲子 读书会 年会,"2500元/半天 起
全天费用为5000元，8小时，半天费用为2500元，4小时，超时计费。 另有小型茶室时租100-200元。",250 平米起,150 人,隐遁茶空间,银幕 音响 麦克风 WIFI 茶歇 停车场 黑白板 讲台 舞台 桌椅 LED屏,141,2,http://venue.huodongxing.com/venue/detail/410922013412
104,活动行-活动场地,南山区,豪威科技大厦X-VALUE,陈小姐,13006***270,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,1元/天 起,300 平米起,100 人,科技南八路2号豪威科技大厦13楼,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,196,1,http://venue.huodongxing.com/venue/detail/990906599117
105,活动行-活动场地,南山区,慕兰荟,慕兰荟,13537***403,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会,"50000元/天 起
价格视租赁面积与室内、室外、餐饮等要求而定",1200 平米起,200 人,粤海街道滨海社区白石路3939号怡化金融科技大厦501,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 LED屏,266,3,http://venue.huodongxing.com/venue/detail/270901860942
106,活动行-活动场地,南山区,万科云设计公社,向小姐,18629***817,聚会 商务活动 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 路演 亲子 读书会 年会 其他,"1500元/小时 起
1. 场地按1小时为最低起租标准，按时租价收取（延时30分钟内不收取费用；超过30分钟但不足1小时的，按1小时收取；超过1小时即按2小时收费，依此类推。） 2. 此报价含税点，可开增值税专票/普票。 3. 上述场地租赁费用仅提供园区场地，不包含其他服务。 4. 以上收费标准只适用于运营方指定区域，最终解释权归运营管理中心所有。",220 平米起,300 人,留仙洞总部基地打石二路与创科路交汇处,投影设备 音响 麦克风 WIFI 停车场 黑白板 讲台 桌椅,230,2,http://venue.huodongxing.com/venue/detail/300902070409
107,活动行-活动场地,南山区,Topspace商务空间咖啡馆（英龙店）,Topspace商务空间咖啡馆,15118***511,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 路演 亲子 读书会 年会 其他,"2000元/天 起
Top space商务空间咖啡馆（天威店）包含路演报告厅可容纳人数100-150人（有外摆区域）、多功能会议室可容纳人数15-20人、洽谈室可容纳人数6-8人，详情可咨询商家",350 平米起,150 人,文心五路有线信息传输大厦5楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅,424,4,http://venue.huodongxing.com/venue/detail/960879769223
108,活动行-活动场地,南山区,香港亚洲商学院深圳教学中心课室,张生,13316***407,分享会/沙龙 发布会 课程 会议/论坛 路演,2000元/半天 起,200 平米起,150 人,广东省深圳市南山区高新南七道虚拟大学园R2-B栋A201-201,音响 麦克风 WIFI 茶歇 黑白板 讲台 舞台 桌椅 LED屏,434,2,http://venue.huodongxing.com/venue/detail/190831768319
109,活动行-活动场地,南山区,南山科技寺,嘉裕,15875***531,聚会 商务活动 团建 分享会/沙龙 发布会 课程 会议/论坛 路演,"1000元/小时 起
【大厅】 ￥1500/小时 ￥10000/全天（9:00-18:00) ￥5000/半天（上午9:00-13:00，下午14:00-18:00） （提供额外30分钟布场，30分钟撤场） 【大会议室】 ￥1000/小时 ￥3500/全天，￥2500/半天（时间同上）",300 平米起,180 人,粤兴三道8号中国地质大学产学研基地A208,投影设备 银幕 音响 麦克风 WIFI 茶歇 桌椅 电视,415,2,http://venue.huodongxing.com/venue/detail/700838206221
110,活动行-活动场地,南山区,玖号馆,吴佳青,13510***641,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 展览 路演,5000元/天 起,370 平米起,30 人,深圳湾体育中心大足球场一楼停车场9号门—玖号馆,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅 电视,302,0,http://venue.huodongxing.com/venue/detail/200837954817
111,活动行-活动场地,南山区,一刻间NapCafé,Oliver周先生,13723***177,聚会 DIY 体验 分享会/沙龙 课程 读书会,78元/时 起,16 平米起,12 人,广东深圳南山区科兴科学园A1栋107一刻间,投影设备 WIFI 茶歇 餐饮,947,3,http://venue.huodongxing.com/venue/detail/200810871157
112,活动行-活动场地,南山区,TCL大厦,ElishaWang,13120***519,聚会 分享会/沙龙 发布会 课程 会议/论坛 路演 轰趴,2000元/小时 起,130 平米起,100 人,广东省深圳市南山区高新南一道6号TCL大厦B座9层,投影设备 音响 麦克风 WIFI 茶歇 黑白板 桌椅 电视,317,0,http://venue.huodongxing.com/venue/detail/360809448988
113,活动行-活动场地,南山区,ATLASK'anteen寰图餐厅,王建翔,13812***441,商务活动 团建 分享会/沙龙 发布会 课程 会议/论坛 现场演出 年会,4000元/天 起,2200 平米起,400 人,深圳市南山区粤海街道海德三道166号航天科技广场裙楼4层B402,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,413,2,http://venue.huodongxing.com/venue/detail/150794557387
114,活动行-活动场地,南山区,派工场虚拟大学园社区,黄先生,18825***419,分享会/沙龙 发布会 路演,3000元/天 起,70 平米起,100 人,深圳市南山区高新南七道20号虚拟大学园R2-A栋7楼派工场,投影设备 银幕 音响 麦克风 WIFI 餐饮 黑白板 舞台灯 桌椅 电视,469,1,http://venue.huodongxing.com/venue/detail/670790916054
115,活动行-活动场地,南山区,派空间,李经理,15879***973,分享会/沙龙 发布会 课程 路演,"3000元/天 起
3000元/天、2000元/半天、50元/办公卡位",600 平米起,100 人,广东省深圳市南山区沙河街道侨香路香年广场C座902,投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,569,0,http://venue.huodongxing.com/venue/detail/180772957844
116,活动行-活动场地,南山区,风火G&G创意社区,赵雅怡,15013***310,商务活动 分享会/沙龙 发布会 会议/论坛,10000元/天 起,300 平米起,1200 人,深圳市南山区招商街道荔园路9号风火G&amp;G创意社区,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅 电视,419,1,http://venue.huodongxing.com/venue/detail/260772220432
